Short,KCID,Specification,Weight,Customs code:,Price,Pic
"Equivalent Hook block complete 4/1 for ABUS GM2000, GSN 6 Single hook. (Replaces AN-36445)",60264039,REV-ENG-R4-RSN6-SINGL-D9,45.39 kg,84314980,"2,326.50",https://store.konecranes.com/medias/60264039.jpg?context=bWFzdGVyfGltYWdlc3wyMjAyMHxpbWFnZS9qcGVnfGltYWdlcy9oOGIvaGYyLzkwMjIyMjE0MTg1MjYuanBnfDg5MGRhYmJmNWVmNDNjNzc5NTBmNWQ3OTY2ZmE5YzUwMmZiMTI5YmI3MTg5ZThlMTUyY2MxZmI0YmY4OGEwZmI&v=e5cf8f64
"Equivalent Hook block complete 2/1 for ABUS GM1000, GSN 2.5 Single hook. (Replaces AN-33324)",55180834,REV-ENG-R2-RSN2.5-SINGL-D8,20.8 kg,84314980,"1,413.00",https://store.konecranes.com/medias/55180834.jpg?context=bWFzdGVyfGltYWdlc3wyMTcyOHxpbWFnZS9qcGVnfGltYWdlcy9oNTkvaDVhLzkwMjU1NTkzNjM2MTQuanBnfDc0YjNjMGQyMTI4Mzk5MTE2MTQ0YzliMWUwMWVkNzdiODNiNzc3NmNjMWEwZjI1MjQyYTIxMTJhM2EyYTE0MDU&v=e5cf8f64
"Equivalent Hook block complete 2/1 for ABUS GM5000, GSN 4 Single hook. (Replaces AN-41815)",60193502,REV-ENG-R2-RSN4-SINGL-D14,82.67 kg,84314980,"2,266.50",https://store.konecranes.com/medias/60193502.jpg?context=bWFzdGVyfGltYWdlc3wyMDY0OHxpbWFnZS9qcGVnfGltYWdlcy9oZjAvaDhhLzkwMjE3OTY5NDE4NTQuanBnfDAwOTUwNmNiNDNlNGNkNWVlZjNlNDQwOWI2MjBiYjcxY2EyNDllODIzZTI4ZTVhMzgwNDY4NzNmNzczZWY0N2U&v=e5cf8f64
"Equivalent Bottom block, E-Ha 3200kg H125-4, RSN 1,6, for Stahl (Replaces 143005510)",55485517,H 125-4,13.79 kg,84314980,793.80,https://store.konecranes.com/medias/55485517.jpg?context=bWFzdGVyfGltYWdlc3wyMjIyOXxpbWFnZS9qcGVnfGhjMy9oZjEvOTIwODA0MjAyOTA4Ni8vbWFzdGVyLzU1NDg1NTE3LmpwZ18xMjAwV3gxMjAwSF80NjBXeDQ2MEh8YzQzNDllYjdjOWJiOGViNmJmYjBlMjliZTA4ZDM5NDY1YzYzMDliZDIxODA5Mjg0NTE0Y2IzOTY1YjBmN2FjZg&v=e5cf8f64
"Equivalent Hook block complete 4/1 for ABUS GM3000, GSN 8 Single hook. (Replaces AN-33392)",55205161,REV-ENG-R4-RSN8-SINGL-D11,94.31 kg,84314980,,https://store.konecranes.com/medias/55205161.jpg?context=bWFzdGVyfGltYWdlc3wyMjAyMHxpbWFnZS9qcGVnfGltYWdlcy9oOGMvaDQxLzkwMjI1NjQzMDI4NzguanBnfDRmNTcxNThjMjY5MjY1M2RkMjIxODg4NjhmYzc3MTEyNDZjNDBiMTM5ODk1Y2M2YzFlMmRjZjgyZDQyNGViNDY&v=e5cf8f64
"Equivalent Hook block complete 4/1, 4/2 for ABUS GM5000, GSN 12 Single hook. (Replaces AN-47539)",60271017,REV-ENG-R4-RSN12-D14,170.81 kg,84314980,"5,695.50",https://store.konecranes.com/medias/60271017.jpg?context=bWFzdGVyfGltYWdlc3wxOTM5NHxpbWFnZS9qcGVnfGltYWdlcy9oNzAvaDJiLzkwMjIyNDA3ODQ0MTQuanBnfDZmMTc5YzQyMTlhM2I4ZGQ3M2UzOTUzYjdjYjY5MDZlNTkwNjQ4MWUwYjFiZjc1ZmUyZjg4MGIxZDViNzQwNGU&v=e5cf8f64
"Equivalent Hook block complete 2/1 for ABUS GM800, GSN 2.5 Ramshorn hook. (Replaces AN-37621)",55185597,REV-ENG-R2-RSN2.5-RAM-D6.5,18.59 kg,84314980,"2,058.00",https://store.konecranes.com/medias/55185597.jpg?context=bWFzdGVyfGltYWdlc3wyMDM3OXxpbWFnZS9qcGVnfGltYWdlcy9oZTQvaDRhLzkwMjU1NjE2MjQ2MDYuanBnfGRmNmI3NDNkNWI5MjQ0OGU0ZGIyYWUzYzJhYzA4YjA2NTU4MDM0Zjg1MWIzZTEzZGIyYmNhZDg1OTFkZmFhZmM&v=e5cf8f64
"Equivalent Hook block complete 4/1 for ABUS GM1000, GSN 8 Ramshorn hook. (Replaces AN-45937)",60214228,REV-ENG-R2-RSN8-RAM-D8,50.07 kg,84314980,"3,225.00",https://store.konecranes.com/medias/60214228.jpg?context=bWFzdGVyfGltYWdlc3wyNDcxNXxpbWFnZS9qcGVnfGltYWdlcy9oZWIvaGMwLzkwMjIyMzkyNzcwODYuanBnfDg5NDI5NzFmYjRlZDRmNDZkMDA3NzBjYTQxZjZkYmM0YjU4OThjMDZkOTYzMDBhMzQyNTg2MzkzZDNkNWVjZTU&v=e5cf8f64
"Equivalent Bottom block, H252-2, 5000kg, for Stahl (Replaces 333004610)",55521325,H 252-2,79.15 kg,84314980,"1,573.60",https://store.konecranes.com/medias/55521325.jpg?context=bWFzdGVyfGltYWdlc3wyMDczNHxpbWFnZS9qcGVnfGhiOS9oMGEvOTIwODA3MzQ1MzU5OC8vbWFzdGVyLzU1NTIxMzI1LmpwZ18xMjAwV3gxMjAwSF80NjBXeDQ2MEh8ZTY2M2JlNzlhOGIwZDRmMTkzMWU2ZWUwZGIxOThkMWM0YWZjYjJlY2M4MWYxZmE2YTIxOWJiOWI5MWIzZDY5Mg&v=e5cf8f64
"Equivalent Hook block complete 8/2 for ABUS GM5000, GSN 8 Ramshorn hook (Replaces AN-41820)",60386866,REV-ENG-R24-RSN8-RAM-D14,233.08 kg,84314980,"5,277.00",https://store.konecranes.com/medias/60386866.jpg?context=bWFzdGVyfGltYWdlc3wxOTEzNXxpbWFnZS9qcGVnfGltYWdlcy9oZDIvaDUwLzkwMjg1NDExMjA1NDIuanBnfGExNTQ1MTU3Yzg0MjI0ZjE5YTg1Y2NjODNiYTlkODc5OTllOTg5YmM0YzAxODM5NjBiNGE4NWJjMGZhY2YxZmE&v=e5cf8f64
"Equivalent Hook block complete 4/1, 4/2 for ABUS GM5000 GM7000, GSN 6 Ramshorn hook. (Replaces AN-41397)",60314651,REV-ENG-R4-RSN6-RAM-D14,103.28 kg,84314980,,https://store.konecranes.com/medias/60314651.jpg?context=bWFzdGVyfGltYWdlc3wxOTcwOHxpbWFnZS9qcGVnfGltYWdlcy9oNGUvaGVkLzkwMjIyNTM2NjIyMzguanBnfDY0YjA2MWU3Njg3YWExMDljMzVlMDYxZWQzZGUyZDdjZmUzNTU0MWJiNzc1NmY4M2MwODlhMGNjNGFlNDA2ZWQ&v=e5cf8f64
"Equivalent Hook block complete 4/1, 4/2 for ABUS GM5000 GM7000, GSN 6 Single hook. (Replaces AN-41394)",60314498,REV-ENG-R4-RSN6-D14,107.16 kg,84314980,"3,328.50",https://store.konecranes.com/medias/60314498.jpg?context=bWFzdGVyfGltYWdlc3wxOTM5NHxpbWFnZS9qcGVnfGltYWdlcy9oNWYvaDE2LzkwMjIyNTQ0MTU5MDIuanBnfDY5MWViOWUwMDk3YzFiNmUzZmQ2ODU1MDQ4MDkxNTMxMWRjZTdkNGY3NTM3OTRlYTRiY2EzMzU4YjA5OGU0Mzk&v=e5cf8f64
"Equivalent Bottom block, E-Ha 5000kg H225-2, RSN 2,5, for Stahl (Replaces 143082500)",55508531,H 225-2,0 kg,84314980,,https://store.konecranes.com/medias/55508531.jpg?context=bWFzdGVyfGltYWdlc3wyMTg3NHxpbWFnZS9qcGVnfGhiNy9oNGUvOTIwODA1MzIzNTc0Mi8vbWFzdGVyLzU1NTA4NTMxLmpwZ18xMjAwV3gxMjAwSF80NjBXeDQ2MEh8NWJjNDE2Njg5NzY3MTJkZjBiOTAyNWRhMGJlZDY0ZmIyM2EyMjVhZTI1N2IwYjBkZjNlMTIwNGZlMTZhZDRjNA&v=e5cf8f64
"Equivalent Wire rope for Stahl equipment. 14mm, 8x36, Left ordinary lay, Specify length when ordering. (Replaces 330 024 9 and 3300249)",52805910,14-PAWO-836-WS+SE-BK-1770-LHO,0.84 kg,7312108312,32.7,https://store.konecranes.com/medias/52805910.jpg?context=bWFzdGVyfGltYWdlc3wxMzI1ODB8aW1hZ2UvanBlZ3xpbWFnZXMvaGExL2g1NC84OTI4Njg3MTk0MTQyLmpwZ3xkYTMzNmM5ZTE2ODVlMzI3NzFjOWM5ZDVjOWEyOTJmZjRiMjAzODUyNzY2NzVkNjZmZjllZWM3MmMwY2Y5ZjE3&v=e5cf8f64
"Equivalent Hook block complete 8/2 for ABUS GM5000 GM7000, GSN 12 Ramshorn hook. (Replaces AN-41918)",60314324,REV-ENG-R24-RSN12-RAM-D14,245.75 kg,84314980,"9,136.50",https://store.konecranes.com/medias/60314324.jpg?context=bWFzdGVyfGltYWdlc3wxOTEzNXxpbWFnZS9qcGVnfGltYWdlcy9oNjAvaGNjLzkwMjU1NTMwMzkzOTAuanBnfDZiNmQ2OTk0Yjc1ZTcxMGRjYzg4NjRmYzNiNTJiMzU3NTg0ZjJhNjYwZWM2OGVlZWI1NWMwNWIyYWI5MDc3MGM&v=e5cf8f64
"Equivalent Hook block complete 4/1 for ABUS GM2000, GSN 4 Single hook. (Replaces AN-36443)",60222814,REV-ENG-R4-RSN4-D9,29.21 kg,84314980,"1,791.00",https://store.konecranes.com/medias/60222814.jpg?context=bWFzdGVyfGltYWdlc3wyMjAyMHxpbWFnZS9qcGVnfGltYWdlcy9oZjUvaGM2LzkwMjIyMTg0MDM4NzAuanBnfDc2ZDIwYTM1NGFhZjI5ZDEwNjA4NjQxOTllZjdhOTkzMGE5YzZlOTliMzI0NzIwZDMwNDljMzMyNTg3NWEwYjM&v=e5cf8f64
"Equivalent Bottom block, H252-4, 10000kg, for Stahl (Replaces 333010610)",55521508,H 252-4,107.16 kg,84314980,"2,364.60",https://store.konecranes.com/medias/55521508.jpg?context=bWFzdGVyfGltYWdlc3wyMDczNHxpbWFnZS9qcGVnfGhiNy9oYzEvOTIwODA3NTIyMzA3MC8vbWFzdGVyLzU1NTIxNTA4LmpwZ18xMjAwV3gxMjAwSF80NjBXeDQ2MEh8MTdiNmQxMmFkZmNjMDE4ZTlhNGRiYzRlMGI3MDU2YjBjYWU5MjI2MTQyYzA4MTgzNjY5MTEwYzgxYzQxNDBlNg&v=e5cf8f64
"Equivalent Hook block complete 2/1 for ABUS GM5000, GSN 4 Ramshorn hook. (Replaces AN-41818)",60277276,REV-ENG-R2-RSN4-RAM-D14,78.29 kg,84314980,"3,060.00",https://store.konecranes.com/medias/60277276.jpg?context=bWFzdGVyfGltYWdlc3wxOTc2NXxpbWFnZS9qcGVnfGltYWdlcy9oNzMvaDM4LzkwMjE4MDY4Mzc3OTAuanBnfGU5ZjYzMTBkYjM0YzkyY2YzOWExYjM5OTE2ZDJmN2RhYWNhMTJiMDVjYzA3NmQ4NDYyOTQzOWQ3MzU1NzBiZmE&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 30.5 m, Diameter: 20 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 315.000 kN (replaces 443427240, 0443427240, 04 434 27 24 0)",69477388,SP-20-8X36-U-RHO-315-30.5M,51.55 kg,,"1,078.46",https://store.konecranes.com/medias/69477388.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoNzgvaDYzLzkyMzM2MDYyNzkxOTgvL21hc3Rlci82OTQ3NzM4OC5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDgzNmY0YzkxZDYwMWRhZWViNDBmMzgxYTE4NDczYTgyNGY3NWM3OGRlYjI0Yjc2ZGQxOTBjMWU3NjI3Y2VkOTY&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 45.6 m, Diameter: 7 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 40.000 kN (replaces 4333438240, 43 334 38 24 0)",68815430,SP-7-8X19-B-RHO-40-45.6M,9.12 kg,,406.10,https://store.konecranes.com/medias/68815430.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoYjMvaDRkLzkyMzM0OTIwODI3MTgvL21hc3Rlci82ODgxNTQzMC5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDlhYWIzODhlMWQ0ZDc1MWYyMjE2OTI2YWNkMDI2YmRhYWE5ZWU5M2ZlZGViNGY0NzNjNmUzZDEzNGVkZmJmNDE&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 63.9 m, Diameter: 20 mm, Lay Type and Direction: Left Hand Ordinary, Minimum Breaking Load: 315.000 kN (replaces 443434240, 0443434240, 04 434 34 24 0)",69477438,SP-20-8X36-U-LHO-315-63.9M,107.99 kg,73121083,"2,259.47",https://store.konecranes.com/medias/69477438.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoZjMvaDVmLzkyMzM2MTI4MzI3OTgvL21hc3Rlci82OTQ3NzQzOC5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDE1NTEzZmRhZmI5ZGNjYWRlODRmNGI5OGJjOTIwNGMwODA0NmYzMjM0MzgxZTBjMGM2YjlkNzFhMWFmODQwN2E&v=e5cf8f64
